# source_id_1_1       ra_1_1             dec_1_1             phot_g_mean_mag_1 phot_bp_mean_mag_1 phot_rp_mean_mag_1 _2MASS           Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag objID             gmag    e_gmag rmag_2  e_rmag imag    e_imag zmag    e_zmag ymag    e_ymag
  6050030781579679360 244.71726543908386 -24.353724316735708 12.618399         13.629957          11.6247            16185214-2421132 10.045 0.023  9.187  0.022  8.947  0.023  78772447172595883 14.076  0.0031 12.961  0.0    12.215  0.0    11.711  0.0    11.442  0.0   
  6048783660516352000 244.74222558915034 -25.538953755824835 12.631259         13.274746          11.840693          16185814-2532201 10.682 0.026  10.252 0.022  10.095 0.023  77352447422173638 13.5616 0.0    12.737  0.0    12.274  0.0    11.961  0.0    11.831  0.0   
  6049114922751320960 246.36193673476592 -24.719288156552384 12.670726         13.922234          11.57242           16252686-2443089 9.832  0.024  8.976  0.025  8.662  0.025  78332463619497269 14.5105 0.0097 12.927  0.0    12.121  0.0    11.569  0.0    11.279  0.0   
  6050044005780353536 244.64568282393742 -24.266670332928104 12.674882         13.959196          11.564009          16183496-2416000 9.779  0.023  8.77   0.04   8.489  0.021  78882446456720320 14.4945 0.0078 13.114  0.0    12.21   0.0    11.607  0.0    11.274  0.0   
  6048843137223898624 244.5514024786158  -25.19888920671833  12.743163         13.26795           12.040163          16181234-2511558 10.991 0.023  10.635 0.024  10.478 0.021  77762445514231706 13.4101 0.0018 12.85   0.0    12.461  0.0    12.189  0.0    12.0542 0.0067
  6048785000546181888 244.70686485603656 -25.467659293751375 12.757848         13.86366           11.717345          16184963-2528033 9.975  0.023  9.176  0.022  8.925  0.023  77432447068629225 14.3273 0.0045 12.942  0.0    12.182  0.0    11.659  0.0    11.392  0.0   
  6048875053122526720 244.92174881514765 -24.916818052458876 12.762518         14.136124          11.618805          16194122-2455003 9.574  0.024  8.582  0.059  8.242  0.027  78102449217820158 14.753  0.0145 13.092  0.0    12.126  0.0    11.475  0.0    11.123  0.0   
  6049251017379041408 245.02317477212483 -24.841775773071053 12.762914         14.181399          11.604005          16200555-2450303 9.615  0.027  8.662  0.038  8.285  0.027  78192450231760238 14.8035 0.0034 13.163  0.0    12.204  0.0    11.538  0.0    11.187  0.0   
  6048804443859635712 245.29454297518632 -25.252684130048607 12.773112         13.80845           11.7683935         16211067-2515095 10.099 0.022  9.283  0.021  9.013  0.021  77692452944767246 14.2743 0.0042 12.897  0.0    12.192  0.0    11.72   0.0    11.465  0.0   
  6048881207813795456 244.47939652569966 -25.021291203775302 12.798104         13.454697          12.001983          16175506-2501165 10.848 0.024  10.377 0.022  10.231 0.024  77972444794094844 13.6871 0.0018 12.854  0.0    12.404  0.0    12.107  0.0    11.982  0.0   
  6049233223332170240 245.54849091941568 -24.683911391698736 12.804531         14.699592          11.517719          16221163-2441020 9.059  0.024  7.816  0.038  7.326  0.026  78372455484789720 15.5755 0.0022 13.5098 0.0    12.387  0.0    11.406  0.0    10.904  0.0   
  6048535205251140736 245.63315936953876 -25.851792099993688 12.808864         13.887417          11.785203          16223195-2551063 10.169 0.024  9.214  0.022  8.967  0.019  76972456331808233 14.3458 0.0023 13.152  0.0    12.368  0.0    11.859  0.0    11.569  0.0   
  6048592139338708096 245.691459929987   -25.642929628401774 12.821785         14.512472          11.575091          16224594-2538343 9.508  0.026  8.494  0.053  8.148  0.026  77222456914678869 15.0643 0.0106 13.142  0.0    12.137  0.0    11.456  0.0    11.088  0.0   
  6050030231823678464 244.67389857964088 -24.397494552919493 12.822482         13.671733          11.917624          16184172-2423507 10.533 0.026  9.878  0.027  9.677  0.021  78722446738123372 14.0047 0.0013 13.038  0.0    12.425  0.0    12.012  0.0    11.812  0.0   
  6049283663428267648 244.98934739015502 -24.360664548804625 12.82722          13.873741          11.810755          16195745-2421382 10.152 0.023  9.375  0.023  9.1    0.019  78762449894147606 14.2966 0.0025 13.166  0.0    12.38   0.0    11.835  0.0    11.569  0.0   
  6048913918284928128 246.2606060708099  -25.53876794507813  12.839285         13.626988          11.954556          16250253-2532195 10.627 0.024  10.09  0.023  9.833  0.019  77352462606133761 13.9159 0.003  13.295  0.0    12.619  0.0    12.13   0.0    11.92   0.0   
  6048815615073134080 244.7521250243021  -25.258763471476204 12.840429         13.925346          11.801284          16190051-2515315 10.075 0.026  9.276  0.023  8.992  0.021  77682447520889904 14.3933 0.0017 13.135  0.0    12.331  0.0    11.769  0.0    11.496  0.0   
